false division (actually location)	true division
Paipote	Atacama
Tierra Amarilla	Atacama
South Coast District	South District
Netivot	South District
Kiryat Gat	South District
Beit Shemesh	Jerusalem District
Ashdod	South District
Gedera	Central District
Yavne	Central District
Ramla	Central District
Kfar Habad	Central District
Bat Yam	Tel Aviv District
Holon	Tel Aviv District
Yehud	Central District
Elad	Central District
Kiryat Ono	Tel Aviv District
Gani Tikva	Central District
Ramat Gan	Tel Aviv District
Petah Tikva	Central District
Beni Brak	Tel Aviv District
Raanana	Central District
Pardesia	Central District
Netanya	Central District
Tirat Zvi	North District
Tveria	North District
Hukuk	North District
Zefat	North District
Maalot Tarshicha	North District
Sdema	Central District
Beerot-Itzhak	Central District
Ramat-Hasharon	Tel Aviv District
Ceasaria	Haifa District
Rishon-Letsion	Central District
Shoham	Central District
Tel-Aviv	Tel Aviv District
Orot	South District
Modiin	Central District
Yeruham	South District
Nir-Tzvi	Central District
Beer-Sheva	South District
Chaspin	North District
Yuvalim	North District
Lod	Central District
Rishpon	Central District
Or-Yehuda	Tel Aviv District
Kefar Sava	Central District
Batié	Sud-Ouest
Gaoua	Sud-Ouest
Bobo Dioulasso	Hauts-Bassins
Houndé	Hauts-Bassins
N'Dorola	Hauts-Bassins
Orodara	Hauts-Bassins
Banfora	Cascades
Dano	Sud-Ouest
Taoyuan	Taiwan
Novi Pazar	Raška District
Krusevac	Rasina District 
Kraljevo	Raška District
Uzice	Zlatibor District 
Cacak	Moravica District
Cuprija	Pomoravlje District
Kragujevac	Šumadija District
Novi Sad	South Bačka District
Backa Palanka	South Bačka District
Kikinda	North Banat District
Pancevo	South Banat District
Ruma	Srem District
Srbobran	South Bačka District
Suubotica	North Bačka District
Vrbas	South Bačka District
Vrsac	South Banat District
Antananarivo	Analamanga
Shtip	Eastern Region
Veles	Vardar
Ohrid	Southwestern Region
Bitola	Pelagonia
Struga	Southwestern Region
Backa Topola	North Bačka District
Sremska Mitrovica	Srem District
Subotica	North Bačka District
Titel	South Bačka District
Zrenjanin	Central Banat District
Qatif	Eastern Province
Strumica	Southeastern Region
Brobo	Bouaké
Tulkarem	West Bank
Chandpur	Chattogram
Noakhali	Chattogram
Bandarban	Chattogram
Khagrachari	Chattogram
Feni	Chattogram
Bella Union	Artigas
Rio Branco	Cerro Largo
Chuy	Rocha
Ain Aouda	Rabat
Cox'S Bazar	Chattogram
Ksar Hellal	Monastir
Dresden	Saxony
Ignalina	Utena
Ukmerge	Vilnius
Brahmanbaria	Chattogram
Rembau	Negeri Sembilan
Djerba	Medenine
Padova	Veneto
Klatovy	Plzeň Region
Trstena	Zilina
Zelovce	Banska Bystrica
Hurbanovo	Nitra
Toronto	Ontario
Bozen	South Tyrol
Mamoudzou	Mayotte
Alpes Maritimes	Provence-Alpes-Côte d'Azur
Ingiriya	Kalutara
Sint Michiels	Brugge
Sint-Amansberg	Gent
Herthoek	West-Vlaanderen
Groot-Gelmen	Hasselt
Ukmergės R.	Vilnius
Širvintų R.	Vilnius
Molėtų R.	Utena
Zarasų R.	Utena
Kretingos R.	Klaipedos Apskritis
Visaginas	Utena
Becej	South Bačka District
Dolný Kubín	Zilina
Kuwait City	Al Asimah
Walhain	Nivelles
Slaný	Central Bohemian Region
Rhone Alpes	Auvergne-Rhône-Alpes
Berchem-Sainte-Agath	Brussels
Kumanovo	Northeastern Region
Fleron	Liège
Marchinne-Au-Pont	Charleroi
Cape Town	Western Cape Province
Almada	Setúbal
Barreiro	Setúbal
Montijo	Setúbal
Alcacer do Sal	Setúbal
Grandola	Setúbal
Moita	Setúbal
Sesimbra	Setúbal
Alcochete	Setúbal
Seixal	Setúbal
Palmela	Setúbal
Peniche	Leiria
Alcobaca	Leiria
Caldas Da Rainha	Leiria
Obidos	Leiria
Cascais	Lisbon
Arneiro	Lisbon
Torres Vedras	Lisbon
Sintra	Lisbon
Amadora	Lisbon
Mafra	Lisbon
Odivelas	Lisbon
Lourinha	Lisbon
Oeiras	Lisbon
Loures	Lisbon
Vila Franca de Xira	Lisbon
Rio Maior	Santarem
Almeirim	Santarem
Torres Novas	Santarem
Benavente	Santarem
Roermond	Limburg
Gelbressee	Namur
Boignee	Namur
Evelette	Namur
Ougree	Liège
Avissawella	Western Province
Dambulla	Central Province
Eindhoven	North Brabant
Tangerang Selatan	Banten
Tangerang	Banten
