# https://simplemaps.com/data/us-cities
"city","state_name","county_name"
"Paradise","Nevada","Clark"
"Nashua","New Hampshire","Hillsborough"
"Arlington","Virginia","Arlington"
"Hialeah","Florida","Miami-Dade"
"York","Pennsylvania","York"
"Evansville","Indiana","Vanderburgh"
"Avondale","Arizona","Maricopa"
"Brownsville","Texas","Cameron"
"Gulfport","Mississippi","Harrison"
"Appleton","Wisconsin","Outagamie"
"Bremerton","Washington","Kitsap"
"Hickory","North Carolina","Catawba"
"Tacoma","Washington","Pierce"
"San Bernardino","California","San Bernardino"
"College Station","Texas","Brazos"
"Kalamazoo","Michigan","Kalamazoo"
"Thousand Oaks","California","Ventura"
"Roanoke","Virginia","Roanoke"
"Fontana","California","San Bernardino"
"Moreno Valley","California","Riverside"
"North Port","Florida","Sarasota"
"Fargo","North Dakota","Cass"
"Green Bay","Wisconsin","Brown"
"Spring Valley","Nevada","Clark"
"Amarillo","Texas","Potter"
"Portland","Maine","Cumberland"
"Santa Barbara","California","Santa Barbara"
"Gainesville","Florida","Alachua"
"Olympia","Washington","Thurston"
"Frisco","Texas","Collin"
"Yonkers","New York","Westchester"
"Norwich","Connecticut","New London"
"Glendale","California","Los Angeles"
"Huntington Beach","California","Orange"
"Deltona","Florida","Volusia"
"Aurora","Illinois","Kane"
"Tempe","Arizona","Maricopa"
"Overland Park","Kansas","Johnson"
"Grand Prairie","Texas","Dallas"
"Sunrise Manor","Nevada","Clark"
"Waco","Texas","McLennan"
"Salinas","California","Monterey"
"Waterbury","Connecticut","New Haven"
"Clarksville","Tennessee","Montgomery"
"Cedar Rapids","Iowa","Linn"
"Sioux Falls","South Dakota","Minnehaha"
"Huntington","West Virginia","Cabell"
"Ontario","California","San Bernardino"
"Hagerstown","Maryland","Washington"
"Erie","Pennsylvania","Erie"
"Vancouver","Washington","Clark"
"Nampa","Idaho","Canyon"
"Spartanburg","South Carolina","Spartanburg"
"Gastonia","North Carolina","Gaston"
"Fort Lauderdale","Florida","Broward"
"Lorain","Ohio","Lorain"
"Murfreesboro","Tennessee","Rutherford"
"High Point","North Carolina","Guilford"
"Newport News","Virginia","Newport News"
"Rancho Cucamonga","California","San Bernardino"
"Hemet","California","Riverside"
"Santa Cruz","California","Santa Cruz"
"Danbury","Connecticut","Fairfield"
"Peoria","Arizona","Maricopa"
"Oceanside","California","San Diego"
"Elk Grove","California","Sacramento"
"Pembroke Pines","Florida","Broward"
"Vallejo","California","Solano"
"Garden Grove","California","Orange"
"Enterprise","Nevada","Clark"
"Medford","Oregon","Jackson"
"Cary","North Carolina","Wake"
"Marysville","Washington","Snohomish"
"Corona","California","Riverside"
"Ocala","Florida","Marion"
"Fredericksburg","Virginia","Fredericksburg"
"Gainesville","Georgia","Hall"
"Manchester","New Hampshire","Hillsborough"
"Bayamón","Puerto Rico","Bayamón"
"Champaign","Illinois","Champaign"
"Alexandria","Virginia","Alexandria"
"Hayward","California","Alameda"
"Springfield","Illinois","Sangamon"
"Lakewood","Colorado","Jefferson"
"Lafayette","Indiana","Tippecanoe"
"Frederick","Maryland","Frederick"
"Lake Charles","Louisiana","Calcasieu"
"Odessa","Texas","Ector"
"Tuscaloosa","Alabama","Tuscaloosa"
"Warner Robins","Georgia","Houston"
"Palmdale","California","Los Angeles"
"Hollywood","Florida","Broward"
"Midland","Texas","Midland"
"Leesburg","Florida","Lake"
"Port Arthur","Texas","Jefferson"
"Muskegon","Michigan","Muskegon"
"Macon","Georgia","Bibb"
"Kansas City","Kansas","Wyandotte"
"Sunnyvale","California","Santa Clara"
"Pomona","California","Los Angeles"
"Escondido","California","San Diego"
"Pasadena","Texas","Harris"
"New Bedford","Massachusetts","Bristol"
"Fairfield","California","Solano"
"Naperville","Illinois","DuPage"
"Bellevue","Washington","King"
"Binghamton","New York","Broome"
"Elkhart","Indiana","Elkhart"
"Topeka","Kansas","Shawnee"
"Joliet","Illinois","Will"
"Beaumont","Texas","Jefferson"
"Paterson","New Jersey","Passaic"
"Merced","California","Merced"
"Pueblo","Colorado","Pueblo"
"Tyler","Texas","Smith"
"Torrance","California","Los Angeles"
"Yuma","Arizona","Yuma"
"Metairie","Louisiana","Jefferson"
"Surprise","Arizona","Maricopa"
"Columbia","Missouri","Boone"
"Athens","Georgia","Clarke"
"Roseville","California","Placer"
"Thornton","Colorado","Adams"
"Miramar","Florida","Broward"
"Pasadena","California","Los Angeles"
"Mesquite","Texas","Dallas"
"Olathe","Kansas","Johnson"
"Santa Maria","California","Santa Barbara"
"Houma","Louisiana","Terrebonne"
"Carrollton","Texas","Dallas"
"Grand Junction","Colorado","Mesa"
"Charleston","West Virginia","Kanawha"
"Orange","California","Orange"
"Fullerton","California","Orange"
"Greeley","Colorado","Weld"
"Carolina","Puerto Rico","Carolina"
"Las Cruces","New Mexico","Doña Ana"
"Panama City","Florida","Bay"
"Harlingen","Texas","Cameron"
"West Valley City","Utah","Salt Lake"
"Hampton","Virginia","Hampton"
"Warren","Michigan","Macomb"
"Mauldin","South Carolina","Greenville"
"Bloomington","Illinois","McLean"
"Coral Springs","Florida","Broward"
"Round Rock","Texas","Williamson"
"Yakima","Washington","Yakima"
"Sterling Heights","Michigan","Macomb"
"Kent","Washington","King"
"Burlington","North Carolina","Alamance"
"Bellingham","Washington","Whatcom"
"Santa Clara","California","Santa Clara"
"Racine","Wisconsin","Racine"
"Greenville","North Carolina","Pitt"
"Stamford","Connecticut","Fairfield"
"Elizabeth","New Jersey","Union"
"Johnson City","Tennessee","Washington"
"Lynchburg","Virginia","Lynchburg"
"Simi Valley","California","Ventura"
"Fort Smith","Arkansas","Sebastian"
"Kenosha","Wisconsin","Kenosha"
"Norman","Oklahoma","Cleveland"
"South Lyon","Michigan","Oakland"
"Boulder","Colorado","Boulder"
"Abilene","Texas","Taylor"
"Lehigh Acres","Florida","Lee"
"Pearland","Texas","Brazoria"
"Berkeley","California","Alameda"
"Richardson","Texas","Dallas"
"Redding","California","Shasta"
"Arvada","Colorado","Jefferson"
"East Los Angeles","California","Los Angeles"
"St. George","Utah","Washington"
"Billings","Montana","Yellowstone"
"Yuba City","California","Sutter"
"Rochester","Minnesota","Olmsted"
"Leominster","Massachusetts","Worcester"
"Kingsport","Tennessee","Sullivan"
"Duluth","Minnesota","St. Louis"
"Rock Hill","South Carolina","York"
"Gilroy","California","Santa Clara"
"Cambridge","Massachusetts","Middlesex"
"Sugar Land","Texas","Fort Bend"
"Texas City","Texas","Galveston"
"Iowa City","Iowa","Johnson"
"Saginaw","Michigan","Saginaw"
"Chico","California","Butte"
"Dover","Delaware","Kent"
"Clearwater","Florida","Pinellas"
"Coeur d'Alene","Idaho","Kootenai"
"Seaside","California","Monterey"
"Independence","Missouri","Jackson"
"West Jordan","Utah","Salt Lake"
"Brandon","Florida","Hillsborough"
"Bloomington","Indiana","Monroe"
"El Monte","California","Los Angeles"
"North Charleston","South Carolina","Charleston"
"Carlsbad","California","San Diego"
"St. Cloud","Minnesota","Stearns"
"Temecula","California","Riverside"
"Clovis","California","Fresno"
"Meridian","Idaho","Ada"
"The Woodlands","Texas","Montgomery"
"Ponce","Puerto Rico","Ponce"
"Westminster","Colorado","Adams"
"Costa Mesa","California","Orange"
"Monroe","Louisiana","Ouachita"
"Utica","New York","Oneida"
"Pompano Beach","Florida","Broward"
"West Palm Beach","Florida","Palm Beach"
"Waterloo","Iowa","Black Hawk"
"Everett","Washington","Snohomish"
"El Centro","California","Imperial"
"Santa Fe","New Mexico","Santa Fe"
"Downey","California","Los Angeles"
"Spring Hill","Florida","Hernando"
"Lowell","Massachusetts","Middlesex"
"Centennial","Colorado","Arapahoe"
"Elgin","Illinois","Kane"
"Richmond","California","Contra Costa"
"Broken Arrow","Oklahoma","Tulsa"
"Miami Gardens","Florida","Miami-Dade"
"Bend","Oregon","Deschutes"
"Burlington","Vermont","Chittenden"
"Jurupa Valley","California","Riverside"
"Sandy Springs","Georgia","Fulton"
"Gresham","Oregon","Multnomah"
"Lewisville","Texas","Denton"
"Hillsboro","Oregon","Washington"
"San Buenaventura","California","Ventura"
"Jacksonville","North Carolina","Onslow"
"Pottstown","Pennsylvania","Montgomery"
"Inglewood","California","Los Angeles"
"League City","Texas","Galveston"
"Eau Claire","Wisconsin","Eau Claire"
"Turlock","California","Stanislaus"
"Temple","Texas","Bell"
"Sioux City","Iowa","Woodbury"
"Salisbury","Maryland","Wicomico"
"Davie","Florida","Broward"
"Daly City","California","San Mateo"
"Highlands Ranch","Colorado","Douglas"
"Allen","Texas","Collin"
"West Covina","California","Los Angeles"
"Sparks","Nevada","Washoe"
"Wichita Falls","Texas","Wichita"
"San Mateo","California","San Mateo"
"Columbia","Maryland","Howard"
"Norwalk","California","Los Angeles"
"Rialto","California","San Bernardino"
"Manteca","California","San Joaquin"
"Arden-Arcade","California","Sacramento"
"El Cajon","California","San Diego"
"Burbank","California","Los Angeles"
"Longmont","Colorado","Boulder"
"Renton","Washington","King"
"Vista","California","San Diego"
"Logan","Utah","Cache"
"Prescott Valley","Arizona","Yavapai"
"Vacaville","California","Solano"
"Edinburg","Texas","Hidalgo"
"Carmel","Indiana","Hamilton"
"Spokane Valley","Washington","Spokane"
"San Angelo","Texas","Tom Green"
"La Crosse","Wisconsin","La Crosse"
"Idaho Falls","Idaho","Bonneville"
"Holland","Michigan","Ottawa"
"Charlottesville","Virginia","Charlottesville"
"Longview","Texas","Gregg"
"Tracy","California","San Joaquin"
"Boca Raton","Florida","Palm Beach"
"Lafayette","Colorado","Boulder"
"Lee's Summit","Missouri","Jackson"
"Rio Rancho","New Mexico","Sandoval"
"South Fulton","Georgia","Fulton"
"Beaverton","Oregon","Washington"
"Lawrence","Kansas","Douglas"
"Bismarck","North Dakota","Burleigh"
"Orem","Utah","Utah"
"Middletown","Ohio","Butler"
"San Tan Valley","Arizona","Pinal"
"San Marcos","California","San Diego"
"Sandy","Utah","Salt Lake"
"Federal Way","Washington","King"
"Mandeville","Louisiana","St. Tammany"
"Hesperia","California","San Bernardino"
"Brockton","Massachusetts","Plymouth"
"Compton","California","Los Angeles"
"Riverview","Florida","Hillsborough"
"Fishers","Indiana","Hamilton"
"Sunrise","Florida","Broward"
"Bowling Green","Kentucky","Warren"
"Roswell","Georgia","Fulton"
"Menifee","California","Riverside"
"Plantation","Florida","Broward"
"Dover","New Hampshire","Strafford"
"Quincy","Massachusetts","Norfolk"
"Portsmouth","Virginia","Portsmouth"
"Chino","California","San Bernardino"
"Lynn","Massachusetts","Essex"
"Edmond","Oklahoma","Oklahoma"
"Hanford","California","Kings"
"Dearborn","Michigan","Wayne"
"Livonia","Michigan","Wayne"
"South Gate","California","Los Angeles"
"Vineland","New Jersey","Cumberland"
"Florence","South Carolina","Florence"
"Portsmouth","New Hampshire","Rockingham"
"Slidell","Louisiana","St. Tammany"
"Lawton","Oklahoma","Comanche"
"Kirkland","Washington","King"
"Missoula","Montana","Missoula"
"Auburn","Alabama","Lee"
"Rapid City","South Dakota","Pennington"
"Terre Haute","Indiana","Vigo"
"Suffolk","Virginia","Suffolk"
"Blacksburg","Virginia","Montgomery"
"Mount Pleasant","South Carolina","Charleston"
"Carson","California","Los Angeles"
"Conroe","Texas","Montgomery"
"Alafaya","Florida","Orange"
"Livermore","California","Alameda"
"Westminster","California","Orange"
"Germantown","Maryland","Montgomery"
"Santa Monica","California","Los Angeles"
"New Braunfels","Texas","Comal"
"Fall River","Massachusetts","Bristol"
"Albany","Georgia","Dougherty"
"Miami Beach","Florida","Miami-Dade"
"Norwalk","Connecticut","Fairfield"
"San Leandro","California","Alameda"
"O'Fallon","Missouri","St. Charles"
"Newton","Massachusetts","Middlesex"
"Muncie","Indiana","Delaware"
"Citrus Heights","California","Sacramento"
"State College","Pennsylvania","Centre"
"Town 'n' Country","Florida","Hillsborough"
"Decatur","Illinois","Macon"
"Jackson","Michigan","Jackson"
"Fort Myers","Florida","Lee"
"Goodyear","Arizona","Maricopa"
"Dalton","Georgia","Whitfield"
"Bryan","Texas","Brazos"
"Waukegan","Illinois","Lake"
"Hawthorne","California","Los Angeles"
"Anderson","Indiana","Madison"
"Redwood City","California","San Mateo"
"Hoover","Alabama","Jefferson"
"Lake Forest","California","Orange"
"Napa","California","Napa"
"Whittier","California","Los Angeles"
"Clifton","New Jersey","Passaic"
"Largo","Florida","Pinellas"
"Bloomington","Minnesota","Hennepin"
"Johns Creek","Georgia","Fulton"
"Newport Beach","California","Orange"
"Mission","Texas","Hidalgo"
"Milpitas","California","Santa Clara"
"Troy","Michigan","Oakland"
"Madera","California","Madera"
"Joplin","Missouri","Jasper"
"Chino Hills","California","San Bernardino"
"Alhambra","California","Los Angeles"
"Franklin","Tennessee","Williamson"
"Melbourne","Florida","Brevard"
"Port Huron","Michigan","St. Clair"
"Springfield","Ohio","Clark"
"Mountain View","California","Santa Clara"
"Zephyrhills","Florida","Pasco"
"St. Augustine","Florida","St. Johns"
"Flagstaff","Arizona","Coconino"
"Buena Park","California","Orange"
"Pleasanton","California","Alameda"
"Silver Spring","Maryland","Montgomery"
"Atascocita","Texas","Harris"
"Westland","Michigan","Wayne"
"Auburn","Washington","King"
"Cranston","Rhode Island","Providence"
"Somerville","Massachusetts","Middlesex"
"Folsom","California","Sacramento"
"Springdale","Arkansas","Washington"
"Deerfield Beach","Florida","Broward"
"Warwick","Rhode Island","Kent"
"Cicero","Illinois","Cook"
"Farmington Hills","Michigan","Oakland"
"Newark","Ohio","Licking"
"Williamsburg","Virginia","Williamsburg"
"Brooklyn Park","Minnesota","Hennepin"
"Hattiesburg","Mississippi","Forrest"
"Alexandria","Louisiana","Rapides"
"Lawrence","Massachusetts","Essex"
"Florence","Alabama","Lauderdale"
"Valdosta","Georgia","Lowndes"
"Plymouth","Minnesota","Hennepin"
"Buckeye","Arizona","Maricopa"
"Georgetown","Texas","Williamson"
"Cheyenne","Wyoming","Laramie"
"Cedar Park","Texas","Williamson"
"The Villages","Florida","Sumter"
"Kokomo","Indiana","Howard"
"Tustin","California","Orange"
"Lakewood","California","Los Angeles"
"Perris","California","Riverside"
"St. Joseph","Missouri","Buchanan"
"Flower Mound","Texas","Denton"
"Pharr","Texas","Hidalgo"
"Pine Hills","Florida","Orange"
"Alton","Illinois","Madison"
"Loveland","Colorado","Larimer"
"Boynton Beach","Florida","Palm Beach"
"New Rochelle","New York","Westchester"
"Anderson","South Carolina","Anderson"
"Jonesboro","Arkansas","Craighead"
"Lebanon","Pennsylvania","Lebanon"
"Parma","Ohio","Cuyahoga"
"Layton","Utah","Davis"
"Elizabethtown","Kentucky","Hardin"
"Texarkana","Texas","Bowie"
"Alameda","California","Alameda"
"Kankakee","Illinois","Kankakee"
"Watsonville","California","Santa Cruz"
"Porterville","California","Tulare"
"Baytown","Texas","Harris"
"Upland","California","San Bernardino"
"Davis","California","Yolo"
"Camarillo","California","Ventura"
"South Jordan","Utah","Salt Lake"
"Battle Creek","Michigan","Calhoun"
"Bellflower","California","Los Angeles"
"San Marcos","Texas","Hays"
"San Ramon","California","Contra Costa"
"Lake Jackson","Texas","Brazoria"
"Bethlehem","Pennsylvania","Northampton"
"Wyoming","Michigan","Kent"
"Oshkosh","Wisconsin","Winnebago"
"Hammond","Indiana","Lake"
"Waldorf","Maryland","Charles"
"Missouri City","Texas","Fort Bend"
"Pasco","Washington","Franklin"
"Wheeling","West Virginia","Ohio"
"Kendall","Florida","Miami-Dade"
"Baldwin Park","California","Los Angeles"
"Rancho Cordova","California","Sacramento"
"Conway","Arkansas","Faulkner"
"Gary","Indiana","Lake"
"Altoona","Pennsylvania","Blair"
"Lodi","California","San Joaquin"
"Arlington Heights","Illinois","Cook"
"Bolingbrook","Illinois","Will"
"Rochester Hills","Michigan","Oakland"
"Winchester","Virginia","Winchester"
"Framingham","Massachusetts","Middlesex"
"Hilton Head Island","South Carolina","Beaufort"
"Centreville","Virginia","Fairfax"
"Union City","California","Alameda"
"Owensboro","Kentucky","Daviess"
"Jackson","Tennessee","Madison"
"Cleveland","Tennessee","Bradley"
"Wausau","Wisconsin","Marathon"
"Camden","New Jersey","Camden"
"Anniston","Alabama","Calhoun"
"Evanston","Illinois","Cook"
"Apple Valley","California","San Bernardino"
"Mansfield","Ohio","Richland"
"Caguas","Puerto Rico","Caguas"
"Schaumburg","Illinois","Cook"
"Pocatello","Idaho","Bannock"
"Woodbury","Minnesota","Washington"
"Southfield","Michigan","Oakland"
"Ellicott City","Maryland","Howard"
"Dale City","Virginia","Prince William"
"Maple Grove","Minnesota","Hennepin"
"Pittsburg","California","Contra Costa"
"New Britain","Connecticut","Hartford"
"Morgantown","West Virginia","Monongalia"
"Mansfield","Texas","Tarrant"
"Hammond","Louisiana","Tangipahoa"
"Dothan","Alabama","Houston"
"Harrisonburg","Virginia","Harrisonburg"
"Wenatchee","Washington","Chelan"
"Waukesha","Wisconsin","Waukesha"
"Pawtucket","Rhode Island","Providence"
"Redmond","Washington","King"
"Lauderhill","Florida","Broward"
"Sumter","South Carolina","Sumter"
"Redlands","California","San Bernardino"
"Daphne","Alabama","Baldwin"
"Mount Vernon","Washington","Skagit"
"Weston","Florida","Broward"
"St. Charles","Missouri","St. Charles"
"Janesville","Wisconsin","Rock"
"Sherman","Texas","Grayson"
"North Richland Hills","Texas","Tarrant"
"Broomfield","Colorado","Broomfield"
"El Paso de Robles","California","San Luis Obispo"
"Bristol","Tennessee","Sullivan"
"Wilmington","Delaware","New Castle"
"Casas Adobes","Arizona","Pima"
"Walnut Creek","California","Contra Costa"
"Poinciana","Florida","Polk"
"Lynwood","California","Los Angeles"
"Glen Burnie","Maryland","Anne Arundel"
"Lehi","Utah","Utah"
"Passaic","New Jersey","Passaic"
"Homestead","Florida","Miami-Dade"
"West Bend","Wisconsin","Washington"
"Delray Beach","Florida","Palm Beach"
"Sheboygan","Wisconsin","Sheboygan"
"Lake Elsinore","California","Riverside"
"Daytona Beach","Florida","Volusia"
"Los Lunas","New Mexico","Valencia"
"Lima","Ohio","Allen"
"Decatur","Alabama","Morgan"
"Rocklin","California","Placer"
"Rogers","Arkansas","Benton"
"Castle Rock","Colorado","Douglas"
"Hanover","Pennsylvania","York"
"Bossier City","Louisiana","Bossier"
"Dubuque","Iowa","Dubuque"
"Rockville","Maryland","Montgomery"
"Victoria","Texas","Victoria"
"Saratoga Springs","New York","Saratoga"
"Guaynabo","Puerto Rico","Guaynabo"
"Gaithersburg","Maryland","Montgomery"
"Union City","New Jersey","Hudson"
"Ames","Iowa","Story"
"West Des Moines","Iowa","Polk"
"South San Francisco","California","San Mateo"
"Yorba Linda","California","Orange"
"Casper","Wyoming","Natrona"
"Palatine","Illinois","Cook"
"Corvallis","Oregon","Benton"
"Ankeny","Iowa","Polk"
"Mount Vernon","New York","Westchester"
"Rowlett","Texas","Dallas"
"Lakeville","Minnesota","Dakota"
"Alpharetta","Georgia","Fulton"
"Longview","Washington","Cowlitz"
"DeKalb","Illinois","DeKalb"
"Petaluma","California","Sonoma"
"Redondo Beach","California","Los Angeles"
"Tamarac","Florida","Broward"
"Laguna Niguel","California","Orange"
"Eagan","Minnesota","Dakota"
"Kenner","Louisiana","Jefferson"
"Bay City","Michigan","Bay"
"North Little Rock","Arkansas","Pulaski"
"Sammamish","Washington","King"
"Shawnee","Kansas","Johnson"
"Jupiter","Florida","Palm Beach"
"Doral","Florida","Miami-Dade"
"Florence-Graham","California","Los Angeles"
"Carbondale","Illinois","Jackson"
"Blaine","Minnesota","Anoka"
"Weirton","West Virginia","Hancock"
"Tulare","California","Tulare"
"Wellington","Florida","Palm Beach"
"Pflugerville","Texas","Travis"
"Palo Alto","California","Santa Clara"
"Schenectady","New York","Schenectady"
"Great Falls","Montana","Cascade"
"Michigan City","Indiana","LaPorte"
"Bayonne","New Jersey","Hudson"
"Eden Prairie","Minnesota","Hennepin"
"Port Orange","Florida","Volusia"
"Dublin","California","Alameda"
"Grand Forks","North Dakota","Grand Forks"
"Noblesville","Indiana","Hamilton"
"San Clemente","California","Orange"
"Brentwood","California","Contra Costa"
"Carmichael","California","Sacramento"
"East Orange","New Jersey","Essex"
"Eastvale","California","Riverside"
"Chapel Hill","North Carolina","Orange"
"Rocky Mount","North Carolina","Nash"
"Haverhill","Massachusetts","Essex"
"Beloit","Wisconsin","Rock"
"Glens Falls","New York","Warren"
"Brentwood","New York","Suffolk"
"Fairbanks","Alaska","Fairbanks North Star"
"Springfield","Oregon","Lane"
"Bethesda","Maryland","Montgomery"
"Johnstown","Pennsylvania","Cambria"
"Dundalk","Maryland","Baltimore"
"Castro Valley","California","Alameda"
"Coon Rapids","Minnesota","Anoka"
"Elmira","New York","Chemung"
"Mankato","Minnesota","Blue Earth"
"Albany","Oregon","Linn"
"North Miami","Florida","Miami-Dade"
"Encinitas","California","San Diego"
"Skokie","Illinois","Cook"
"Leander","Texas","Williamson"
"Parkersburg","West Virginia","Wood"
"Waltham","Massachusetts","Middlesex"
